	G1-122	G1-153	G1-154	G1-155	G1-156	G1-167	G1-168	G1-169	G1-17	G1-170	G1-18	G3-51	G3-52	G3-53	G3-54	G3-56	G3-710	G3-711	G3-712	G3-78	G3-79
G1-122	0.0	0.2018097816696814	0.178892648166795	0.24116123737710077	0.19303057886922426	0.07751810393399705	0.08532574840846692	0.08403419666476025	0.2184665886567077	0.09241901738473379	0.1361859527649085	0.07721525409078411	0.09382637525729208	0.06946090063712641	0.0918836680126264	0.08568831914990216	0.1292431957160134	0.18274948449491094	0.13800044053955082	0.15707688477422407	0.18426730721757806
G1-153	0.2018097816696814	0.0	0.07906968343835058	0.0984964516970896	0.04524551973715071	0.23466779091719447	0.24387327511592785	0.2605580984464485	0.07306320761470712	0.25142140732026225	0.13825185109753632	0.19956447123185786	0.19757308137489343	0.2296237081588915	0.2391629076770428	0.21775073211222198	0.09704694642833124	0.023679669867887942	0.0832386313256035	0.10735065006033133	0.028341028576238818
G1-154	0.178892648166795	0.07906968343835058	0.0	0.06702701269343835	0.03382839859826037	0.2183466582453576	0.22119486267886593	0.24098855610551087	0.04503180215791378	0.23217963493737104	0.13280155285014636	0.1795436659546844	0.17925801289088822	0.21273516793898892	0.22195871615110646	0.20409732890183974	0.11533325926643678	0.09143039993650089	0.07772452553667436	0.030612825517632187	0.10210492427336436
G1-155	0.24116123737710077	0.0984964516970896	0.06702701269343835	0.0	0.0707558689828046	0.28476647468149996	0.2792282993123923	0.28667819314502396	0.030486109185586984	0.2764378369557778	0.19966362425108983	0.22865133070746158	0.22258951101040908	0.25626507653280894	0.2641878071066794	0.24276716174773752	0.17153678325098504	0.11822916893052848	0.14462499509679405	0.08891000452632679	0.12610203781458068
G1-156	0.19303057886922426	0.04524551973715071	0.03382839859826037	0.0707558689828046	0.0	0.22588858811673734	0.23509407231547072	0.2518087112974939	0.04141782524574311	0.24278702339853145	0.14067579741987074	0.19083825943917382	0.1889174005592323	0.22105747429773778	0.23052852376170183	0.2092952421058958	0.10105172102007845	0.05814206461545862	0.08566681254499846	0.0621093652202411	0.06881658895232212
G1-167	0.07751810393399705	0.23466779091719447	0.2183466582453576	0.28476647468149996	0.22588858811673734	0.0	0.054338249600620434	0.06311765024289834	0.26207182596110684	0.07658636055621662	0.16542996589665754	0.07574277598504085	0.10002949032842269	0.06622778533411113	0.08825960279792494	0.09922761666822286	0.16641489734789217	0.2177075950290379	0.16966013379727973	0.20323268186181376	0.21900196828696594
G1-168	0.08532574840846692	0.24387327511592785	0.22119486267886593	0.2792282993123923	0.23509407231547072	0.054338249600620434	0.0	0.06717528181199318	0.25705492426734117	0.04440111982275058	0.18605902258422588	0.05917247964929213	0.06527093734408729	0.06353343306645622	0.0697367647731266	0.05991045836808581	0.17555144529889158	0.22643714209500324	0.18807272956500368	0.2041577251711157	0.22773151534015162
G1-169	0.08403419666476025	0.2605580984464485	0.24098855610551087	0.28667819314502396	0.2518087112974939	0.06311765024289834	0.06717528181199318	0.0	0.2737139863643475	0.04178754464993093	0.21643218313881413	0.07662480213001388	0.0945985262787452	0.04303011587423659	0.055254888903419654	0.08019654172478292	0.20561434217547522	0.24378536973687992	0.218915764679559	0.23495345233698978	0.24507974296924886
G1-17	0.2184665886567077	0.07306320761470712	0.04503180215791378	0.030486109185586984	0.04141782524574311	0.26207182596110684	0.25705492426734117	0.2737139863643475	0.0	0.26460305647167554	0.17743172265970314	0.21303352214389473	0.21075473052630672	0.24275383484327612	0.25246820251325996	0.23105602694843907	0.1418375212527033	0.08890092870224439	0.12208791024158602	0.06647594878278533	0.09652901744919459
G1-170	0.09241901738473379	0.25142140732026225	0.23217963493737104	0.2764378369557778	0.24278702339853145	0.07658636055621662	0.04440111982275058	0.04178754464993093	0.26460305647167554	0.0	0.21164185055586118	0.060790669789819486	0.06068156736734748	0.03759808647371679	0.03153980506374847	0.04389250248346587	0.19997257245141722	0.233644907652348	0.21326827942439525	0.22929677320668929	0.23493928089110672
G1-18	0.1361859527649085	0.13825185109753632	0.13280155285014636	0.19966362425108983	0.14067579741987074	0.16542996589665754	0.18605902258422588	0.21643218313881413	0.17743172265970314	0.21164185055586118	0.0	0.1610099191971237	0.16435923275654868	0.19254820083450294	0.2052504517438843	0.19103191736185024	0.06397554687356075	0.12236994712175976	0.05721310324380967	0.11405006417104166	0.11783297491327298
G3-51	0.07721525409078411	0.19956447123185786	0.1795436659546844	0.22865133070746158	0.19083825943917382	0.07574277598504085	0.05917247964929213	0.07662480213001388	0.21303352214389473	0.060790669789819486	0.1610099191971237	0.0	0.026711850042534135	0.04698607118800406	0.06625334472934385	0.039788088171578834	0.14571142859787295	0.17853969786472423	0.15832730168272818	0.17601423932343435	0.18104948644398564
G3-52	0.09382637525729208	0.19757308137489343	0.17925801289088822	0.22258951101040908	0.1889174005592323	0.10002949032842269	0.06527093734408729	0.0945985262787452	0.21075473052630672	0.06068156736734748	0.16435923275654868	0.026711850042534135	0.0	0.06370388500184575	0.05813743042055829	0.02856974391681599	0.15792183452441816	0.17635601823752542	0.1620054487793111	0.1795229816936612	0.17907097720377843
G3-53	0.06946090063712641	0.2296237081588915	0.21273516793898892	0.25626507653280894	0.22105747429773778	0.06622778533411113	0.06353343306645622	0.04303011587423659	0.24275383484327612	0.03759808647371679	0.19254820083450294	0.04698607118800406	0.06370388500184575	0.0	0.03820345452954649	0.04721717571198797	0.1790559783885421	0.210355066186637	0.1917009679760938	0.20813056754120635	0.21162367822383019
G3-54	0.0918836680126264	0.2391629076770428	0.22195871615110646	0.2641878071066794	0.23052852376170183	0.08825960279792494	0.0697367647731266	0.055254888903419654	0.25246820251325996	0.03153980506374847	0.2052504517438843	0.06625334472934385	0.05813743042055829	0.03820345452954649	0.0	0.03843704164803653	0.1922258389131018	0.22023267412800066	0.2049477603500452	0.2213688901210368	0.22152704739231852
G3-56	0.08568831914990216	0.21775073211222198	0.20409732890183974	0.24276716174773752	0.2092952421058958	0.09922761666822286	0.05991045836808581	0.08019654172478292	0.23105602694843907	0.04389250248346587	0.19103191736185024	0.039788088171578834	0.02856974391681599	0.04721717571198797	0.03843704164803653	0.0	0.1743771563550165	0.19726215424306953	0.18708637310077839	0.2061438856679037	0.1992486279411069
G3-710	0.1292431957160134	0.09704694642833124	0.11533325926643678	0.17153678325098504	0.10105172102007845	0.16641489734789217	0.17555144529889158	0.20561434217547522	0.1418375212527033	0.19997257245141722	0.06397554687356075	0.14571142859787295	0.15792183452441816	0.1790559783885421	0.1922258389131018	0.1743771563550165	0.0	0.07733377452282711	0.064730676216296	0.11934129908364272	0.07490845718220503
G3-711	0.18274948449491094	0.023679669867887942	0.09143039993650089	0.11822916893052848	0.05814206461545862	0.2177075950290379	0.22643714209500324	0.24378536973687992	0.08890092870224439	0.233644907652348	0.12236994712175976	0.17853969786472423	0.17635601823752542	0.210355066186637	0.22023267412800066	0.19726215424306953	0.07733377452282711	0.0	0.06972591208273299	0.11669836507150019	0.014409602636713136
G3-712	0.13800044053955082	0.0832386313256035	0.07772452553667436	0.14462499509679405	0.08566681254499846	0.16966013379727973	0.18807272956500368	0.218915764679559	0.12208791024158602	0.21326827942439525	0.05721310324380967	0.15832730168272818	0.1620054487793111	0.1917009679760938	0.2049477603500452	0.18708637310077839	0.064730676216296	0.06972591208273299	0.0	0.07210066169601002	0.07113206310754647
G3-78	0.15707688477422407	0.10735065006033133	0.030612825517632187	0.08891000452632679	0.0621093652202411	0.20323268186181376	0.2041577251711157	0.23495345233698978	0.06647594878278533	0.22929677320668929	0.11405006417104166	0.17601423932343435	0.1795229816936612	0.20813056754120635	0.2213688901210368	0.2061438856679037	0.11934129908364272	0.11669836507150019	0.07210066169601002	0.0	0.12749978923974936
G3-79	0.18426730721757806	0.028341028576238818	0.10210492427336436	0.12610203781458068	0.06881658895232212	0.21900196828696594	0.22773151534015162	0.24507974296924886	0.09652901744919459	0.23493928089110672	0.11783297491327298	0.18104948644398564	0.17907097720377843	0.21162367822383019	0.22152704739231852	0.1992486279411069	0.07490845718220503	0.014409602636713136	0.07113206310754647	0.12749978923974936	0.0
