	G1-123	G1-124	G1-153	G1-154	G1-155	G1-156	G1-17	G1-18	G3-61	G3-62	G3-63	G3-64	G3-65	G3-66	G3-710	G3-711	G3-712	G3-78	G3-79
G1-123	0.0	0.008556170330603118	0.2521999866871593	0.20147760111812557	0.23135154730030144	0.27505517126138984	0.23135154730030144	0.24442143578130954	0.02537941216479647	0.11993957163014043	0.02537940915045649	0.0436162298387533	0.06739622899393233	0.02537941216479647	0.14655340556128893	0.12767809043916567	0.04375089522199317	0.09172500750051539	0.09377481865855272
G1-124	0.008556170330603118	0.0	0.2459899061008889	0.19458634469675737	0.22496833153566054	0.26879889001846174	0.22496833153566054	0.23859230137502102	0.03371843194781821	0.1281134937772021	0.033718428933478234	0.0519719744962937	0.07543407115226462	0.03371843194781821	0.13946598644216746	0.12043392190937371	0.03549845575079062	0.08388658510476421	0.08595408615388178
G1-153	0.2521999866871593	0.2459899061008889	0.0	0.07227746368859861	0.025864625196280626	0.1112923180509011	0.025864625196280626	0.22748674416045367	0.2704860462840908	0.31202380854690337	0.2704860484028375	0.25457554416441786	0.2912443311178696	0.2704860462840908	0.11858968658239608	0.14090954237858677	0.21932245333670602	0.1797799457452735	0.18194415586608859
G1-154	0.20147760111812557	0.19458634469675737	0.07227746368859861	0.0	0.04641283849231798	0.09214214935772716	0.04641283849231798	0.17388005630033027	0.22174362544922338	0.300635837701095	0.2217436277951527	0.2041125543150557	0.24470297037334696	0.22174362544922338	0.1797799457452735	0.15907667301815576	0.16494312011422865	0.12083631027249438	0.12309312805123393
G1-155	0.23135154730030144	0.22496833153566054	0.025864625196280626	0.04641283849231798	0.0	0.13427840915356992	0.0	0.20589232857500134	0.25014741673722235	0.32584155053611	0.2501474189150391	0.233793334605312	0.27148443630679625	0.25014741673722235	0.13874532664714836	0.1180420541880231	0.19755739821162463	0.15691245740536483	0.15907666752617994
G1-156	0.27505517126138984	0.26879889001846174	0.1112923180509011	0.09214214935772716	0.13427840915356992	0.0	0.13427840915356992	0.24646822320561798	0.2934538405516843	0.25107476386523453	0.29345384268145464	0.2774473342072978	0.3142976620866537	0.2934538405516843	0.21668388351661247	0.23293627360639477	0.24188705586286102	0.2018443422812567	0.20003897602004003
G1-17	0.23135154730030144	0.22496833153566054	0.025864625196280626	0.04641283849231798	0.0	0.13427840915356992	0.0	0.20589232857500134	0.25014741673722235	0.32584155053611	0.2501474189150391	0.233793334605312	0.27148443630679625	0.25014741673722235	0.13874532664714836	0.1180420541880231	0.19755739821162463	0.15691245740536483	0.15907666752617994
G1-18	0.24442143578130954	0.23859230137502102	0.22748674416045367	0.17388005630033027	0.20589232857500134	0.24646822320561798	0.20589232857500134	0.0	0.26162545710178225	0.33203447813548	0.26162545909859725	0.2466530733098121	0.2812275316366346	0.26162545710178225	0.30368248455019253	0.28289699004562235	0.21363802757379832	0.2583122712732068	0.2568938181470029
G3-61	0.02537941216479647	0.03371843194781821	0.2704860462840908	0.22174362544922338	0.25014741673722235	0.2934538405516843	0.25014741673722235	0.26162545710178225	0.0	0.09506263221843139	3.014339981554847e-09	0.02215271924410656	0.046701961337779055	0.0	0.16742285058061881	0.14900909609471782	0.06801992379580725	0.11477648173573336	0.11677426990991054
G3-62	0.11993957163014043	0.1281134937772021	0.31202380854690337	0.300635837701095	0.32584155053611	0.25107476386523453	0.32584155053611	0.33203447813548	0.09506263221843139	0.0	0.09506262926376993	0.10363080027328019	0.09183715726630735	0.09506263221843139	0.20816172858763518	0.2259663364886867	0.1489037564476	0.19505454368579528	0.1970264488267146
G3-63	0.02537940915045649	0.033718428933478234	0.2704860484028375	0.2217436277951527	0.2501474189150391	0.29345384268145464	0.2501474189150391	0.26162545909859725	3.014339981554847e-09	0.09506262926376993	0.0	0.022152722191670714	0.04670195843790176	3.014339981554847e-09	0.16742285299869472	0.14900909856627326	0.06801992660511205	0.114776484404098	0.11677427257225316
G3-64	0.0436162298387533	0.0519719744962937	0.25457554416441786	0.2041125543150557	0.233793334605312	0.2774473342072978	0.233793334605312	0.2466530733098121	0.02215271924410656	0.10363080027328019	0.022152722191670714	0.0	0.051000196420184725	0.02215271924410656	0.14926456802391957	0.13044921458558534	0.04690630679695148	0.09472211490942326	0.09676516213519541
G3-65	0.06739622899393233	0.07543407115226462	0.2912443311178696	0.24470297037334696	0.27148443630679625	0.3142976620866537	0.27148443630679625	0.2812275316366346	0.046701961337779055	0.09183715726630735	0.04670195843790176	0.051000196420184725	0.0	0.046701961337779055	0.191113793743131	0.17322400169644758	0.09551427235714624	0.1408914648638921	0.14283031627985415
G3-66	0.02537941216479647	0.03371843194781821	0.2704860462840908	0.22174362544922338	0.25014741673722235	0.2934538405516843	0.25014741673722235	0.26162545710178225	0.0	0.09506263221843139	3.014339981554847e-09	0.02215271924410656	0.046701961337779055	0.0	0.16742285058061881	0.14900909609471782	0.06801992379580725	0.11477648173573336	0.11677426990991054
G3-710	0.14655340556128893	0.13946598644216746	0.11858968658239608	0.1797799457452735	0.13874532664714836	0.21668388351661247	0.13874532664714836	0.30368248455019253	0.16742285058061881	0.20816172858763518	0.16742285299869472	0.14926456802391957	0.191113793743131	0.16742285058061881	0.0	0.02503170482813221	0.1090310430583521	0.06390210743803379	0.06606631755884888
G3-711	0.12767809043916567	0.12043392190937371	0.14090954237858677	0.15907667301815576	0.1180420541880231	0.23293627360639477	0.1180420541880231	0.28289699004562235	0.14900909609471782	0.2259663364886867	0.14900909856627326	0.13044921458558534	0.17322400169644758	0.14900909609471782	0.02503170482813221	0.0	0.08932586793974638	0.04319883546770119	0.041123625527009225
G3-712	0.04375089522199317	0.03549845575079062	0.21932245333670602	0.16494312011422865	0.19755739821162463	0.24188705586286102	0.19755739821162463	0.21363802757379832	0.06801992379580725	0.1489037564476	0.06801992660511205	0.04690630679695148	0.09551427235714624	0.06801992379580725	0.1090310430583521	0.08932586793974638	0.0	0.05016905310933059	0.05231264847707047
G3-78	0.09172500750051539	0.08388658510476421	0.1797799457452735	0.12083631027249438	0.15691245740536483	0.2018443422812567	0.15691245740536483	0.2583122712732068	0.11477648173573336	0.19505454368579528	0.114776484404098	0.09472211490942326	0.1408914648638921	0.11477648173573336	0.06390210743803379	0.04319883546770119	0.05016905310933059	0.0	0.002256817778739547
G3-79	0.09377481865855272	0.08595408615388178	0.18194415586608859	0.12309312805123393	0.15907666752617994	0.20003897602004003	0.15907666752617994	0.2568938181470029	0.11677426990991054	0.1970264488267146	0.11677427257225316	0.09676516213519541	0.14283031627985415	0.11677426990991054	0.06606631755884888	0.041123625527009225	0.05231264847707047	0.002256817778739547	0.0
